course_id,date,enrollment,capacity,day_of_week,days_since_start,will_close_in_24h
CSC001,2023-09-01,27,170,4,0,0
CSC001,2023-09-02,27,170,5,1,0
CSC001,2023-09-03,28,170,6,2,0
CSC001,2023-09-04,29,170,0,3,0
CSC001,2023-09-05,31,170,1,4,0
CSC001,2023-09-06,30,170,2,5,0
CSC001,2023-09-07,31,170,3,6,0
CSC001,2023-09-08,30,170,4,7,0
CSC001,2023-09-09,30,170,5,8,0
CSC001,2023-09-10,34,170,6,9,0
CSC001,2023-09-11,32,170,0,10,0
CSC001,2023-09-12,35,170,1,11,0
CSC001,2023-09-13,33,170,2,12,0
CSC001,2023-09-14,33,170,3,13,0
CSC001,2023-09-15,32,170,4,14,0
CSC001,2023-09-16,37,170,5,15,0
CSC001,2023-09-17,33,170,6,16,0
CSC001,2023-09-18,37,170,0,17,0
CSC001,2023-09-19,37,170,1,18,0
CSC001,2023-09-20,38,170,2,19,0
CSC001,2023-09-21,37,170,3,20,0
CSC001,2023-09-22,42,170,4,21,0
CSC001,2023-09-23,43,170,5,22,0
CSC001,2023-09-24,43,170,6,23,0
CSC001,2023-09-25,47,170,0,24,0
CSC001,2023-09-26,43,170,1,25,0
CSC001,2023-09-27,50,170,2,26,0
CSC001,2023-09-28,52,170,3,27,0
CSC001,2023-09-29,53,170,4,28,0
CSC001,2023-09-30,51,170,5,29,0
CSC001,2023-10-01,54,170,6,30,0
CSC001,2023-10-02,56,170,0,31,0
CSC001,2023-10-03,59,170,1,32,0
CSC001,2023-10-04,59,170,2,33,0
CSC001,2023-10-05,65,170,3,34,0
CSC001,2023-10-06,68,170,4,35,0
CSC001,2023-10-07,70,170,5,36,0
CSC001,2023-10-08,71,170,6,37,0
CSC001,2023-10-09,74,170,0,38,0
CSC001,2023-10-10,76,170,1,39,0
CSC001,2023-10-11,82,170,2,40,0
CSC001,2023-10-12,84,170,3,41,0
CSC001,2023-10-13,88,170,4,42,0
CSC001,2023-10-14,91,170,5,43,0
CSC001,2023-10-15,95,170,6,44,0
CSC001,2023-10-16,95,170,0,45,0
CSC001,2023-10-17,100,170,1,46,0
CSC001,2023-10-18,103,170,2,47,0
CSC001,2023-10-19,110,170,3,48,0
CSC001,2023-10-20,111,170,4,49,0
CSC001,2023-10-21,111,170,5,50,0
CSC001,2023-10-22,116,170,6,51,0
CSC001,2023-10-23,121,170,0,52,0
CSC001,2023-10-24,120,170,1,53,0
CSC001,2023-10-25,128,170,2,54,0
CSC001,2023-10-26,131,170,3,55,0
CSC001,2023-10-27,132,170,4,56,0
CSC001,2023-10-28,134,170,5,57,0
CSC001,2023-10-29,134,170,6,58,0
CSC001,2023-10-30,138,170,0,59,0
CSC001,2023-10-31,142,170,1,60,0
CSC001,2023-11-01,142,170,2,61,0
CSC001,2023-11-02,146,170,3,62,0
CSC001,2023-11-03,146,170,4,63,0
CSC001,2023-11-04,148,170,5,64,0
CSC001,2023-11-05,150,170,6,65,0
CSC001,2023-11-06,148,170,0,66,0
CSC001,2023-11-07,153,170,1,67,0
CSC001,2023-11-08,156,170,2,68,0
CSC001,2023-11-09,155,170,3,69,0
CSC001,2023-11-10,154,170,4,70,0
CSC001,2023-11-11,158,170,5,71,0
CSC001,2023-11-12,159,170,6,72,0
CSC001,2023-11-13,158,170,0,73,0
CSC001,2023-11-14,159,170,1,74,0
CSC001,2023-11-15,162,170,2,75,1
CSC001,2023-11-16,162,170,3,76,1
CSC001,2023-11-17,160,170,4,77,0
CSC001,2023-11-18,161,170,5,78,0
CSC001,2023-11-19,164,170,6,79,1
CSC001,2023-11-20,161,170,0,80,0
CSC001,2023-11-21,166,170,1,81,1
CSC001,2023-11-22,167,170,2,82,1
CSC001,2023-11-23,162,170,3,83,1
CSC001,2023-11-24,164,170,4,84,1
CSC001,2023-11-25,165,170,5,85,1
CSC001,2023-11-26,166,170,6,86,1
CSC001,2023-11-27,165,170,0,87,1
CSC001,2023-11-28,164,170,1,88,1
CSC001,2023-11-29,169,170,2,89,1
CSC002,2023-09-01,1,161,4,0,0
CSC002,2023-09-02,0,161,5,1,0
CSC002,2023-09-03,0,161,6,2,0
CSC002,2023-09-04,0,161,0,3,0
CSC002,2023-09-05,0,161,1,4,0
CSC002,2023-09-06,0,161,2,5,0
CSC002,2023-09-07,0,161,3,6,0
CSC002,2023-09-08,3,161,4,7,0
CSC002,2023-09-09,4,161,5,8,0
CSC002,2023-09-10,3,161,6,9,0
CSC002,2023-09-11,1,161,0,10,0
CSC002,2023-09-12,4,161,1,11,0
